Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,class
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,6,11,4,14.0,6,12,3,11.0,9.4,-0.8,-3.12,Enrolled
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,5,7,5,14.71428571,5,5,5,15.8,7.6,2.6,0.32,Graduate
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,5,12,5,10.6,5,10,5,11.0,9.4,-0.8,-3.12,Dropout
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,7,9,7,13.04444444,8,10,8,13.595,15.5,2.8,-4.06,Graduate
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,6,10,0,0.0,6,6,0,0.0,12.4,0.5,1.79,Dropout
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,6,9,5,13.0,11,13,10,12.9,12.4,0.5,1.79,Dropout
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,8,8,8,14.935,8,8,8,14.935,9.4,-0.8,-3.12,Graduate
1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32,Enrolled
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,7,8,6,13.13333333,8,12,7,12.22142857,16.2,0.3,-0.92,Graduate
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,6,7,6,12.0,6,7,6,12.0,13.9,-0.3,0.79,Graduate
1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,1,0,0,1,1,1,19,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,Enrolled
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74,Enrolled
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,6,6,0,0.0,6,6,0,0.0,12.7,3.7,-1.7,Enrolled
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,7,10,5,11.9,8,10,5,11.0,13.9,-0.3,0.79,Dropout
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,Graduate
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,6,8,6,12.57142857,6,7,6,12.42857143,8.9,1.4,3.51,Graduate
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,5,8,5,11.2,5,10,4,10.75,16.2,0.3,-0.92,Dropout
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,6,7,6,12.0,6,8,5,10.8,12.7,3.7,-1.7,Enrolled
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,5,9,0,0.0,5,5,0,0.0,7.6,2.6,0.32,Enrolled
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,7,8,7,11.975,8,8,8,13.75,13.9,-0.3,0.79,Graduate
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06,Dropout
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,6,12,3,11.66666667,6,12,1,12.0,12.4,0.5,1.79,Dropout
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,6,8,6,12.33333333,6,11,3,12.33333333,10.8,1.4,1.74,Graduate
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,5,8,3,10.33333333,5,11,3,10.85714286,10.8,1.4,1.74,Dropout
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,6,8,4,10.5,6,11,1,11.0,9.4,-0.8,-3.12,Dropout
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,6,6,6,13.66666667,6,6,6,13.33333333,8.9,1.4,3.51,Graduate
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,7,7,7,14.84285714,8,9,8,15.05555556,16.2,0.3,-0.92,Graduate
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,6,8,6,12.0,6,6,6,11.66666667,10.8,1.4,1.74,Graduate
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,6,8,5,12.2,6,7,5,12.2,10.8,1.4,1.74,Dropout
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,1,1,0,0.0,5,0,0,0.0,10.8,1.4,1.74,Dropout
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,12,17,6,12.16666667,12,14,10,13.3,12.4,0.5,1.79,Dropout
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,5,6,5,12.0,5,8,3,11.33333333,12.7,3.7,-1.7,Enrolled
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,6,7,6,11.0,6,11,5,11.0,9.4,-0.8,-3.12,Graduate
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,8,8,7,13.08,8,8,7,13.08,10.8,1.4,1.74,Graduate
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,5,7,4,10.5,5,7,5,11.6,9.4,-0.8,-3.12,Graduate
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,6,9,6,10.66666667,6,6,5,11.2,7.6,2.6,0.32,Graduate
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,5,6,4,14.0,5,5,5,13.8,11.1,0.6,2.02,Enrolled
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,5,9,2,10.0,5,9,0,0.0,15.5,2.8,-4.06,Enrolled
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,7,18,0,0.0,7,7,0,0.0,13.9,-0.3,0.79,Dropout
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,6,6,6,14.0,6,6,6,13.5,8.9,1.4,3.51,Graduate
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,6,7,2,12.0,6,6,0,0.0,8.9,1.4,3.51,Dropout
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,6,12,3,12.66666667,6,14,0,0.0,7.6,2.6,0.32,Dropout
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,8,11,8,11.875,6,7,6,12.33333333,12.7,3.7,-1.7,Graduate
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,1,0,0,1,1,0,19,1,5,9,5,14.0,5,11,3,13.25,13.9,-0.3,0.79,Enrolled
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,6,6,6,13.66666667,6,6,6,13.33333333,8.9,1.4,3.51,Graduate
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,7,7,7,13.75,8,9,8,14.47777778,12.4,0.5,1.79,Graduate
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,5,7,5,14.2,5,7,5,13.8,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,7,10,4,11.96,7,7,0,0.0,13.9,-0.3,0.79,Dropout
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,10,12,8,12.875,9,14,5,13.4,8.9,1.4,3.51,Dropout
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,1,0,0,1,0,0,20,0,0,0,0,0.0,0,0,0,0.0,16.2,0.3,-0.92,Graduate
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,6,0,0,0.0,6,0,0,0.0,9.4,-0.8,-3.12,Dropout
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,43,0,18,19,18,14.63157895,13,14,13,14.23076923,15.5,2.8,-4.06,Graduate
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,6,0,0,0.0,6,0,0,0.0,11.1,0.6,2.02,Dropout
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,10,12,10,13.0,11,11,11,12.27272727,11.1,0.6,2.02,Graduate
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,6,0,0,0.0,6,0,0,0.0,16.2,0.3,-0.92,Dropout
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,6,15,4,14.2,6,17,4,13.25,15.5,2.8,-4.06,Dropout
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,7,9,6,13.26666667,7,10,5,12.3,12.4,0.5,1.79,Dropout
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,7,12,6,11.66666667,7,10,3,13.0,16.2,0.3,-0.92,Enrolled
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,6,8,6,13.85714286,6,6,6,15.0,13.9,-0.3,0.79,Graduate
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,5,9,3,13.0,5,11,3,11.0,8.9,1.4,3.51,Enrolled
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,5,6,5,13.4,5,5,5,12.8,10.8,1.4,1.74,Graduate
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18,0,6,6,6,12.66666667,6,7,6,12.57142857,10.8,1.4,1.74,Graduate
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,7,7,6,12.51666667,7,7,6,12.51666667,7.6,2.6,0.32,Dropout
1,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,0,0,0,1,0,0,20,0,7,11,6,11.61666667,7,7,7,13.0,13.9,-0.3,0.79,Enrolled
1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,6,13,2,10.0,6,12,4,10.75,7.6,2.6,0.32,Enrolled
1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,5,11,3,10.33333333,5,10,3,10.66666667,12.4,0.5,1.79,Enrolled
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18,0,5,12,5,13.14285714,5,6,5,11.4,9.4,-0.8,-3.12,Graduate
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,5,5,5,12.6,5,5,5,14.0,11.1,0.6,2.02,Graduate
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,6,12,3,11.0,6,12,2,11.0,9.4,-0.8,-3.12,Dropout
1,1,2,9147,1,1,120.0,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,5,8,5,10.8,5,9,4,11.25,16.2,0.3,-0.92,Graduate
1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,Dropout
1,1,1,9670,1,1,131.0,1,38,38,9,9,127.9,0,0,0,1,0,1,19,0,5,5,5,12.8,5,5,5,14.2,9.4,-0.8,-3.12,Graduate
1,1,1,9085,1,1,130.0,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,6,15,6,14.16666667,6,13,6,12.2,15.5,2.8,-4.06,Graduate
1,17,6,9556,1,1,122.0,1,1,1,4,5,117.1,1,0,0,1,0,0,19,0,7,12,5,12.1,7,0,0,0.0,13.9,-0.3,0.79,Dropout
1,44,1,9085,1,39,160.0,1,37,37,9,9,160.0,1,0,0,1,0,0,20,0,6,7,6,14.16666667,6,17,5,13.77777778,12.4,0.5,1.79,Graduate
1,1,1,9853,1,1,146.0,1,19,38,9,3,145.3,1,0,0,1,0,1,18,0,6,8,5,12.8,6,7,5,13.4,9.4,-0.8,-3.12,Enrolled
1,17,3,9238,1,1,131.0,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,6,7,6,13.0,6,6,6,13.66666667,12.4,0.5,1.79,Graduate
1,17,6,9500,1,1,132.0,1,1,37,8,9,128.0,1,0,0,1,0,0,19,0,7,7,7,13.46714286,8,9,8,15.01111111,12.4,0.5,1.79,Graduate
1,1,3,9500,1,1,138.0,1,19,19,5,8,124.9,1,0,0,1,0,1,18,0,7,9,7,13.2375,8,9,7,13.74285714,13.9,-0.3,0.79,Dropout
1,17,2,9070,1,1,130.0,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,6,6,6,12.33333333,6,6,6,13.0,7.6,2.6,0.32,Graduate
1,1,4,9147,1,1,126.0,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,5,7,5,12.4,5,5,5,14.6,8.9,1.4,3.51,Graduate
1,17,6,9500,1,1,148.0,1,1,19,3,3,131.7,1,0,0,1,0,0,19,0,7,8,5,14.0,7,7,0,0.0,13.9,-0.3,0.79,Dropout
1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,9,15,9,11.66666667,7,8,7,11.71428571,7.6,2.6,0.32,Graduate
1,1,1,9670,1,1,117.0,1,1,38,3,9,109.3,0,0,1,0,0,1,19,0,6,7,5,12.0,6,9,4,12.5,12.4,0.5,1.79,Dropout
1,17,1,9670,1,1,120.0,1,19,19,5,5,113.0,1,0,0,1,0,0,20,0,5,7,4,12.2,5,5,4,11.5,7.6,2.6,0.32,Graduate
1,1,1,9773,1,1,153.0,1,1,1,141,175,157.9,0,0,1,1,0,1,18,0,6,6,6,14.83333333,6,6,6,14.83333333,8.9,1.4,3.51,Graduate
1,1,2,9500,1,1,117.0,1,19,1,4,7,112.1,0,0,0,1,0,1,20,0,7,9,5,13.188,8,9,7,12.89285714,11.1,0.6,2.02,Enrolled
1,18,1,9500,1,1,178.0,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,7,8,7,17.125,8,8,8,17.5875,13.9,-0.3,0.79,Graduate
1,1,5,9500,1,1,129.0,1,37,37,9,9,128.8,1,0,0,1,0,0,19,0,7,7,6,12.66666667,7,7,6,12.66666667,7.6,2.6,0.32,Graduate
1,1,6,9773,1,1,116.0,1,19,1,4,4,110.1,1,0,0,1,0,1,19,0,6,8,6,12.66666667,6,10,5,12.0,12.4,0.5,1.79,Graduate
1,51,1,9147,1,1,99.0,1,3,1,3,3,99.7,1,0,1,0,0,0,22,0,5,8,0,0.0,5,7,0,0.0,8.9,1.4,3.51,Enrolled
1,1,3,9238,1,1,135.0,1,1,12,9,10,121.0,1,0,0,1,0,1,19,0,6,7,6,11.33333333,6,6,6,11.5,12.4,0.5,1.79,Graduate
1,1,3,9500,1,1,141.0,1,19,19,9,7,131.7,1,0,0,1,0,1,19,0,7,10,7,13.605,8,11,8,12.33125,15.5,2.8,-4.06,Graduate
1,17,5,9853,1,1,132.0,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,6,10,5,12.0,6,9,5,10.8,9.4,-0.8,-3.12,Graduate
1,1,4,9254,1,1,132.0,1,12,19,9,9,124.7,1,0,0,1,0,0,19,0,5,10,0,0.0,5,10,0,0.0,7.6,2.6,0.32,Dropout
1,17,1,9254,1,1,113.0,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,6,8,5,11.2,6,12,3,11.66666667,7.6,2.6,0.32,Dropout
1,1,1,9147,1,1,134.0,1,3,19,2,10,128.8,0,0,0,1,0,0,18,0,5,10,5,13.375,5,9,5,14.16666667,13.9,-0.3,0.79,Graduate
1,1,1,9500,1,1,136.0,1,1,19,9,9,131.5,0,0,0,1,0,1,20,0,7,8,6,13.86333333,8,9,7,14.17857143,11.1,0.6,2.02,Graduate
1,1,1,171,1,1,136.0,1,3,37,2,8,121.7,1,0,0,1,0,0,18,0,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12,Enrolled
1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,5,6,5,12.4,5,6,5,13.4,7.6,2.6,0.32,Graduate
1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,6,11,3,12.33333333,6,10,5,10.83333333,9.4,-0.8,-3.12,Enrolled
1,1,1,9853,1,1,137.0,1,37,37,9,9,132.8,1,0,0,1,0,0,18,0,6,7,6,13.33333333,6,8,5,11.8,7.6,2.6,0.32,Graduate
1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,6,10,3,12.66666667,6,12,3,10.0,9.4,-0.8,-3.12,Dropout
1,1,1,9853,1,1,129.0,1,38,37,6,6,138.1,0,0,0,1,0,0,19,0,6,8,6,12.0,6,10,4,11.5,7.6,2.6,0.32,Dropout
